Date,Open,High,Low,Close,Volume
14-Nov-16,18.75,19.20,18.50,19.14,-
11-Nov-16,18.35,18.73,18.07,18.55,15363776
10-Nov-16,19.04,19.30,18.03,18.37,31099082
9-Nov-16,17.96,19.24,17.91,19.13,33149438
8-Nov-16,18.22,18.56,17.77,18.38,19987464
7-Nov-16,18.11,18.69,18.11,18.41,26006168
4-Nov-16,17.52,18.34,17.50,18.02,30988697
3-Nov-16,17.55,17.86,17.26,17.58,17084589
2-Nov-16,17.43,17.95,17.38,17.61,20963582
1-Nov-16,17.84,18.00,17.26,17.49,22624832
31-Oct-16,17.65,18.04,17.64,17.95,19530470
28-Oct-16,17.70,18.00,17.50,17.66,29383320
27-Oct-16,18.00,18.12,17.07,17.40,63791893
26-Oct-16,17.58,17.66,17.17,17.29,35259271
25-Oct-16,17.82,17.84,17.15,17.26,32456237
24-Oct-16,17.60,18.37,17.49,18.03,41781102
21-Oct-16,16.95,18.35,16.74,18.09,58503852
20-Oct-16,17.04,17.07,16.82,16.90,15124038
19-Oct-16,16.94,17.26,16.88,17.07,17392381
18-Oct-16,16.86,17.13,16.79,16.83,18479753
17-Oct-16,16.76,16.98,16.43,16.73,25800559
14-Oct-16,17.88,18.05,16.28,16.88,73675252
13-Oct-16,17.86,17.99,17.67,17.79,18688297
12-Oct-16,18.19,18.19,17.81,18.05,23535123
11-Oct-16,18.18,18.20,17.65,18.00,49156851
10-Oct-16,17.49,18.24,16.93,17.56,105887343
7-Oct-16,19.95,20.53,19.64,19.85,38675653
6-Oct-16,20.46,21.00,19.60,19.87,109388242
5-Oct-16,24.32,25.25,24.13,24.87,63716832
4-Oct-16,23.75,23.79,23.34,23.52,22230724
3-Oct-16,23.78,24.25,23.46,24.00,37555727
30-Sep-16,23.02,23.25,22.82,23.05,17425201
29-Sep-16,22.92,23.36,22.86,23.01,26459769
28-Sep-16,23.42,23.63,22.44,22.96,44513688
27-Sep-16,23.21,23.98,22.90,23.72,65489542
26-Sep-16,21.79,23.57,21.65,23.37,95403450
23-Sep-16,21.50,22.89,21.11,22.62,192415337
22-Sep-16,18.52,18.92,18.44,18.63,16321143
21-Sep-16,18.44,18.50,18.13,18.49,16211539
20-Sep-16,18.30,18.64,18.23,18.39,15910296
19-Sep-16,19.22,19.24,18.28,18.36,23409732
16-Sep-16,18.90,19.25,18.74,19.11,40346697
15-Sep-16,18.30,18.42,18.06,18.30,14542023
14-Sep-16,17.93,18.39,17.90,18.08,16142107
13-Sep-16,17.99,18.10,17.52,17.76,15890043
12-Sep-16,17.96,18.24,17.68,18.15,18286500
9-Sep-16,18.40,18.82,17.92,18.11,30859215
8-Sep-16,18.81,19.31,18.59,18.70,45229547
7-Sep-16,20.05,20.65,19.80,19.87,26593146
6-Sep-16,19.74,20.14,19.48,19.93,24174808
2-Sep-16,19.62,19.87,19.35,19.55,19891612
1-Sep-16,19.37,20.14,19.27,19.50,39755902
31-Aug-16,18.39,19.60,18.38,19.21,34222625
30-Aug-16,18.59,18.69,18.32,18.38,8908431
29-Aug-16,18.39,18.55,18.30,18.47,11417408
26-Aug-16,18.40,18.53,18.10,18.30,11225899
25-Aug-16,18.33,18.65,18.23,18.32,13276453
24-Aug-16,18.80,18.97,18.20,18.25,16788827
23-Aug-16,18.65,18.93,18.65,18.69,14089337
22-Aug-16,18.95,18.96,18.52,18.55,17497567
19-Aug-16,18.96,19.31,18.76,18.98,17026064
18-Aug-16,19.56,19.60,18.92,19.00,47582533
17-Aug-16,20.43,20.44,19.90,20.17,22762792
16-Aug-16,20.78,20.79,20.29,20.40,23527718
15-Aug-16,19.85,21.10,19.83,20.86,58856771
12-Aug-16,19.71,19.71,19.01,19.54,28403177
11-Aug-16,19.17,19.83,19.11,19.78,30959549
10-Aug-16,18.67,19.57,18.56,19.04,28645020
9-Aug-16,18.17,18.79,17.97,18.68,19311410
8-Aug-16,18.25,18.48,17.94,18.20,15502751
5-Aug-16,18.19,18.58,18.14,18.26,22811743
4-Aug-16,17.57,18.31,17.36,18.13,33119092
3-Aug-16,16.34,17.88,16.33,17.61,55611351
2-Aug-16,16.61,16.70,16.20,16.42,16611322
1-Aug-16,16.65,16.85,16.40,16.64,26053169
29-Jul-16,16.39,16.74,16.24,16.64,26057239
28-Jul-16,15.89,16.34,15.88,16.31,31442403
27-Jul-16,16.34,16.59,15.69,15.77,83161918
26-Jul-16,18.52,18.65,18.16,18.45,44132848
25-Jul-16,18.43,18.70,18.17,18.65,21485283
22-Jul-16,18.12,18.39,17.76,18.37,19639487
21-Jul-16,18.57,18.80,18.35,18.39,13961365
20-Jul-16,18.52,18.76,18.45,18.56,15029172
19-Jul-16,18.51,18.90,18.27,18.33,27283395
18-Jul-16,18.29,18.75,18.05,18.65,29731219
15-Jul-16,17.98,18.18,17.81,18.08,17371221
14-Jul-16,18.02,18.28,17.91,17.96,19585345
13-Jul-16,18.21,18.32,17.50,17.74,17931884
12-Jul-16,17.98,18.38,17.92,18.10,23816224
11-Jul-16,17.59,17.88,17.52,17.71,24041870
8-Jul-16,17.53,18.16,17.47,18.08,24883974
7-Jul-16,17.24,17.68,17.24,17.37,13492885
